Market,Order Region,Category Name,Shipping Mode,total_orders,avg_days_variance,late_delivery_rate_pct,cancellation_rate_pct,total_sales,total_profit,total_losses
LATAM,South America,Golf Balls,Standard Class,80,-0.1,31.25,3.75,4416.52,665.89,-372.29
Africa,North Africa,Men's Footwear,Second Class,80,1.9,77.5,1.25,10399.2,1716.46,-722.58
USCA,West of USA,Cardio Equipment,First Class,80,1,95,2.5,23237.73,1089.61,-3809.75
Europe,Southern Europe,Cleats,Same Day,79,0.6,55.7,3.8,14877.56,1803,-1267.99
Africa,North Africa,Indoor/Outdoor Games,Second Class,79,2.1,86.08,1.27,11445.42,836.67,-1364.41
Pacific Asia,Oceania,Cleats,Same Day,79,0.4,34.18,0,14397.6,1651.47,-1422.71
LATAM,South America,Water Sports,Same Day,79,0.5,51.9,2.53,15799.21,2305.14,-1143.35
Pacific Asia,Southeast Asia,Garden,Standard Class,79,-0.2,32.91,1.27,42073.82,6521.4,-4099.16
Europe,Northern Europe,Cameras,Standard Class,78,-0.2,32.05,2.56,35259.12,6480.9,-1476.16
Europe,Eastern Europe,Men's Footwear,First Class,78,1,97.44,1.28,10139.22,1322.23,-793.79
Pacific Asia,Eastern Asia,Pet Supplies,Standard Class,78,0,37.18,1.28,6583.2,-135.77,-1323.28
Africa,North Africa,Cleats,First Class,78,1,100,0,15597.4,2729.42,-701.55
Europe,Eastern Europe,Indoor/Outdoor Games,First Class,77,1,98.7,1.3,10795.68,1829.69,-717.34
Pacific Asia,West Asia,Camping & Hiking,First Class,77,1,96.1,0,23098.46,1957.85,-2685.77
Europe,Northern Europe,Shop By Sport,First Class,77,1,98.7,0,8657.89,454.22,-1065.55
Pacific Asia,Eastern Asia,Electronics,Standard Class,77,0,44.16,2.6,9340.51,869.56,-885.21
Africa,West Africa,Water Sports,Second Class,77,1.9,80.52,1.3,15399.23,689.23,-2185.99
LATAM,South America,Golf Gloves,Standard Class,77,0,41.56,1.3,8037.74,864.08,-975.22
Africa,West Africa,Women's Apparel,First Class,76,1,97.37,2.63,10950,1763.23,-478.37
USCA,US Center,Shop By Sport,Second Class,76,2.1,84.21,1.32,8987.76,1146.39,-768.19
Pacific Asia,Eastern Asia,Cardio Equipment,First Class,76,1,92.11,3.95,22317.78,3544.41,-1870.83
LATAM,Central America,Cardio Equipment,Same Day,76,0.4,39.47,3.95,20508,1066.66,-3064.4
USCA,Canada,Women's Apparel,Standard Class,75,-0.2,29.33,2.67,11800,486.36,-1853.18
Europe,Western Europe,Girls' Apparel,Standard Class,75,0,41.33,2.67,9099.08,814.18,-1119.46
USCA,US Center,Camping & Hiking,First Class,75,1,97.33,1.33,22498.5,2794.64,-1173.85
USCA,US Center,Water Sports,First Class,75,1,97.33,1.33,14999.25,2000.81,-1162.85
Pacific Asia,Oceania,Women's Apparel,Same Day,74,0.4,43.24,1.35,10950,517.63,-1786.44
Europe,Western Europe,Consumer Electronics,Standard Class,74,-0,39.19,2.7,18713.12,1840.97,-1859.61
Europe,Eastern Europe,Fishing,First Class,74,1,95.95,1.35,29598.52,107.73,-5389.62
USCA,Canada,Men's Footwear,Standard Class,73,-0.3,28.77,2.74,9489.27,876.88,-1158.75
Europe,Northern Europe,Cleats,Same Day,73,0.4,35.62,0,14997.5,1923.72,-1154.75
USCA,East of USA,Cardio Equipment,First Class,73,1,98.63,0,21647.85,698.29,-3066.94
Pacific Asia,Oceania,Toys,Standard Class,73,0,39.73,2.74,842.42,137.67,-76.44
USCA,South of  USA,Women's Apparel,First Class,73,1,93.15,2.74,11450,1256.21,-1127.96
Europe,Southern Europe,Children's Clothing,Standard Class,73,0,35.62,2.74,26068.3,1129.69,-3889.4
Africa,North Africa,Women's Apparel,Second Class,73,1.9,72.6,4.11,11400,1117.15,-1055.29
Europe,Western Europe,Crafts,Standard Class,72,0.2,43.06,1.39,33226.56,3441.99,-3161.58
Pacific Asia,Eastern Asia,Cardio Equipment,Second Class,72,2.3,83.33,4.17,21587.85,2160.7,-2182.38
USCA,US Center,Electronics,Standard Class,71,-0.1,35.21,0,7635,-98.92,-1464.44
Africa,Central Africa,Cardio Equipment,Standard Class,71,0,42.25,0,20977.92,3997.2,-1236.01
LATAM,Caribbean,Shop By Sport,First Class,71,1,97.18,0,8467.95,1740.06,-265.69
Europe,Eastern Europe,Water Sports,Second Class,70,2,75.71,1.43,13999.3,1586.16,-1340.18
Pacific Asia,Oceania,Shop By Sport,First Class,70,1,90,5.71,8627.88,1443.51,-687.55
Europe,Southern Europe,Men's Footwear,Same Day,70,0.6,60,2.86,9099.3,1464.4,-497.61
Pacific Asia,Oceania,Pet Supplies,Standard Class,70,0.4,44.29,4.29,5908,902.04,-350.5
Pacific Asia,Eastern Asia,Toys,Standard Class,70,0.4,48.57,0,807.8,109.12,-75.78
Pacific Asia,Oceania,Men's Footwear,Same Day,70,0.4,35.71,1.43,9099.3,1445.7,-561.27
Pacific Asia,West Asia,Electronics,Standard Class,70,0.1,47.14,1.43,7986.9,1551.08,-432.63
USCA,South of  USA,Indoor/Outdoor Games,First Class,70,1,90,7.14,11045.58,668.85,-1545
Pacific Asia,Oceania,Garden,Standard Class,69,-0.1,39.13,1.45,36748.02,4620.14,-3530.67
Pacific Asia,Southeast Asia,Health and Beauty,Standard Class,69,0,43.48,1.45,20219.76,3443.16,-893.86
Pacific Asia,Southeast Asia,Music,Standard Class,69,0.3,46.38,2.9,17984.85,1168.3,-2444.73
USCA,US Center,Cardio Equipment,First Class,69,1,88.41,5.8,20547.96,3090.78,-1731.98
USCA,US Center,Shop By Sport,First Class,68,1,95.59,4.41,8028.03,886.03,-776.02
Europe,Western Europe,Children's Clothing,Second Class,68,1.9,75,4.41,24282.8,2770.19,-2148.15
USCA,South of  USA,Men's Footwear,First Class,68,1,98.53,1.47,8839.32,1050.34,-852.06
Europe,Western Europe,DVDs,Standard Class,68,0,36.76,0,11177.84,-121.8,-2288.07
USCA,South of  USA,Fishing,Second Class,67,2,80.6,2.99,26798.66,3456.72,-2915.66
LATAM,Central America,Golf Shoes,Standard Class,67,0,37.31,2.99,12890,2116.35,-1024.05
Pacific Asia,Southeast Asia,Pet Supplies,Standard Class,67,-0.2,31.34,0,5654.8,176.18,-850.5
Pacific Asia,Eastern Asia,Water Sports,First Class,66,1,93.94,0,13199.34,2245.21,-741.11
Europe,Northern Europe,Electronics,Standard Class,66,-0.3,33.33,0,7923.02,525.09,-1027.9
Pacific Asia,Eastern Asia,Women's Clothing,Standard Class,66,0.1,43.94,1.52,14244.12,1780.46,-1381.23
Africa,East Africa,Shop By Sport,Standard Class,66,0.1,34.85,4.55,7438.14,1025.86,-396.17
Pacific Asia,Southeast Asia,Cleats,Same Day,66,0.4,34.85,1.52,12897.85,2265.87,-488.63
Pacific Asia,Oceania,Indoor/Outdoor Games,Same Day,66,0.4,39.39,1.52,9896.04,-308.09,-2249.13
Africa,Central Africa,Shop By Sport,Standard Class,65,0.1,44.62,0,8187.99,41.62,-1486.7
Europe,Western Europe,Electronics,Second Class,65,2,80,1.54,6799.16,923.44,-406.04
Pacific Asia,Eastern Asia,Camping & Hiking,First Class,65,1,95.38,1.54,19498.7,2267.5,-1561.63
Pacific Asia,Southeast Asia,Sporting Goods,Standard Class,65,-0.1,41.54,0,21303.75,3497.39,-1488.52
Africa,North Africa,Men's Footwear,First Class,65,1,93.85,1.54,8449.35,1151.43,-628.3
Europe,Southern Europe,Fishing,Same Day,64,0.6,56.25,7.81,25598.72,2716.62,-2617.48
Pacific Asia,Oceania,Music,Standard Class,64,0.1,42.19,3.13,16681.6,2049.99,-1811.98
Europe,Eastern Europe,Fishing,Second Class,64,2.1,81.25,0,25598.72,4765.97,-1466.14
USCA,East of USA,Cleats,Same Day,64,0.5,51.56,1.56,11218.13,1677.61,-750.3
LATAM,South America,Cardio Equipment,Same Day,64,0.5,40.63,7.81,18798.12,3595.66,-886.97
Africa,West Africa,Cleats,First Class,64,1,98.44,0,11338.11,-163.87,-2154.56
Pacific Asia,South Asia,Music,Standard Class,63,-0,41.27,0,16420.95,2423.19,-669.69
LATAM,Caribbean,Cleats,Same Day,62,0.5,48.39,3.23,12057.99,1826.31,-852.34
Europe,Northern Europe,Women's Apparel,Same Day,62,0.4,32.26,3.23,10100,1301.33,-628.59
Africa,North Africa,Water Sports,Second Class,62,2.1,80.65,1.61,12399.38,551.44,-1833.34
USCA,South of  USA,Camping & Hiking,Second Class,62,1.8,75.81,0,18598.76,3274.53,-902.01
Europe,Eastern Europe,Camping & Hiking,Second Class,61,1.4,62.3,0,18298.78,-65.06,-3798.93
Pacific Asia,Oceania,DVDs,Standard Class,61,-0,40.98,0,10027.18,1989.02,-552.53
Europe,Western Europe,Men's Golf Clubs,Standard Class,61,-0.2,31.15,0,10374.06,1103.8,-1231.71
USCA,Canada,Indoor/Outdoor Games,Standard Class,61,-0.3,29.51,0,9196.32,1001.25,-1074.93
USCA,South of  USA,Fishing,First Class,60,1,91.67,3.33,23998.8,2349.22,-2880.68
USCA,South of  USA,Water Sports,Second Class,60,2,81.67,1.67,11999.4,1530.37,-1014.97
Pacific Asia,Oceania,Golf Balls,Standard Class,60,0,40,3.33,3088.23,196.87,-359.69
USCA,West of USA,Shop By Sport,First Class,60,1,95,3.33,6878.37,415.09,-1182.59
Europe,Western Europe,Golf Apparel,Standard Class,60,0,41.67,1.67,6108.85,1020.37,-327.18
Pacific Asia,Eastern Asia,Music,Standard Class,60,-0.3,28.33,5,15639,1933.12,-1445.28
Pacific Asia,West Asia,Cardio Equipment,First Class,60,1,98.33,0,17628.24,2076.3,-1612.92
Pacific Asia,Eastern Asia,Cleats,Same Day,60,0.4,36.67,0,10738.21,61.14,-2002.53
USCA,West of USA,Men's Footwear,Same Day,59,0.6,55.93,0,7669.41,996.44,-718.77
LATAM,Caribbean,Men's Footwear,Same Day,59,0.7,62.71,0,7669.41,544.24,-953.13
Pacific Asia,Southeast Asia,Accessories,Standard Class,59,0.2,49.15,0,4448.22,427.3,-485.15
Europe,Southern Europe,Women's Apparel,Same Day,59,0.5,50.85,1.69,8300,797.93,-783.53
Africa,West Africa,Men's Footwear,First Class,59,1,96.61,1.69,7669.41,857.54,-597.59
Africa,North Africa,Indoor/Outdoor Games,First Class,59,1,94.92,5.08,8696.52,1802.48,-397.53
Africa,North Africa,Fishing,Second Class,59,2.2,79.66,3.39,23598.82,1863.14,-2666.04
Pacific Asia,Southeast Asia,DVDs,Standard Class,59,-0.1,35.59,3.39,9698.42,568.79,-1142.93
Africa,Southern Africa,Cardio Equipment,Standard Class,59,0,44.07,0,17638.26,2583.04,-1056.25
LATAM,South America,Fishing,Same Day,59,0.5,45.76,1.69,23598.82,3040.88,-1620.59
Europe,Eastern Europe,Electronics,Standard Class,58,-0.4,22.41,1.72,6960.22,369.35,-1004.8
Europe,Western Europe,Trade-In,Standard Class,58,0.3,44.83,1.72,5634.36,790.5,-334.32
Europe,Southern Europe,Electronics,Standard Class,58,-0.2,37.93,0,7172.11,1328.62,-365.38
Europe,Eastern Europe,Cardio Equipment,Second Class,58,1.7,74.14,1.72,18658.14,4384.75,-785.68
LATAM,Central America,Accessories,Second Class,58,2,79.31,0,4148.34,333.46,-510.89
USCA,West of USA,Accessories,Standard Class,58,0,39.66,0,4548.18,770.5,-176.74
Europe,Western Europe,Golf Shoes,Standard Class,58,-0.1,34.48,1.72,12289,608.7,-1863.16
LATAM,South America,Girls' Apparel,Standard Class,57,-0.1,29.82,0,7409.46,848.28,-765.92
Europe,Southern Europe,Cameras,Standard Class,57,-0.4,24.56,1.75,25766.28,3539.43,-1767.74
Africa,Southern Africa,Water Sports,Standard Class,57,-0.1,33.33,1.75,11399.43,2159.83,-926.7
Pacific Asia,Southeast Asia,Women's Apparel,Same Day,57,0.4,38.6,1.75,9300,1757.71,-466.62
USCA,South of  USA,Electronics,Standard Class,57,-0.1,42.11,0,6384.32,191.37,-1042
USCA,East of USA,Women's Apparel,Same Day,56,0.5,53.57,8.93,8200,930.82,-665.4
LATAM,Central America,Baseball & Softball,Standard Class,56,-0.2,33.93,5.36,8028.57,1058.69,-857.91
USCA,West of USA,Women's Apparel,Same Day,56,0.5,51.79,0,8600,712.4,-717.1
Pacific Asia,West Asia,Shop By Sport,First Class,56,1,92.86,0,6968.31,664.8,-794.23
Africa,West Africa,Camping & Hiking,Second Class,56,1.8,78.57,1.79,16798.88,136.84,-3139.01
Europe,Eastern Europe,Camping & Hiking,First Class,56,1,96.43,0,16798.88,723.03,-2285.68
Europe,Western Europe,Cameras,Second Class,56,2,80.36,3.57,25314.24,1838.24,-3630.6
USCA,South of  USA,Camping & Hiking,First Class,55,1,100,0,16498.9,2467.67,-1338.08
Europe,Northern Europe,Men's Footwear,Same Day,55,0.4,38.18,1.82,7149.45,1096.2,-566.93
Europe,Northern Europe,Children's Clothing,Standard Class,55,0.1,47.27,0,19640.5,2913.83,-1235.14
USCA,South of  USA,Water Sports,First Class,55,1,92.73,5.45,10999.45,1397.08,-960.14
Africa,North Africa,Women's Apparel,First Class,55,1,98.18,1.82,8050,1784.8,-179.44
Europe,Southern Europe,Indoor/Outdoor Games,Same Day,54,0.6,57.41,3.7,7696.92,936.26,-1036.97
Pacific Asia,South Asia,Garden,Standard Class,54,0.1,40.74,3.7,28759.32,3341.3,-2308.66
LATAM,Caribbean,Indoor/Outdoor Games,Same Day,54,0.5,46.3,3.7,7696.92,421.81,-962.72
USCA,South of  USA,Shop By Sport,Second Class,54,2.3,85.19,0,5878.59,581.87,-516.86
Africa,East Africa,Men's Footwear,Second Class,53,2,83.02,0,6889.47,792.34,-682.69
USCA,South of  USA,Cardio Equipment,Second Class,53,2.2,86.79,1.89,15228.48,2463.9,-1101.92
Africa,Southern Africa,Camping & Hiking,Standard Class,53,0.3,49.06,0,15898.94,2251.09,-1349.72
USCA,US Center,Cleats,Same Day,53,0.4,39.62,0,9358.44,316.33,-1442.03
Africa,North Africa,Fishing,First Class,53,1,98.11,0,21198.94,1558.2,-2635.42
USCA,US Center,Accessories,Standard Class,53,0.1,35.85,3.77,3673.53,599.87,-350.41
Europe,Eastern Europe,Water Sports,First Class,53,1,96.23,1.89,10599.47,2690.98,-163.6
Europe,Northern Europe,Indoor/Outdoor Games,Same Day,52,0.5,42.31,3.85,8846.46,1090.42,-836.51
LATAM,Central America,Lacrosse,Standard Class,52,-0,42.31,3.85,6823.5,722.31,-565.79
Pacific Asia,Oceania,Accessories,Standard Class,52,0,40.38,3.85,3698.52,434.66,-297.38
USCA,Canada,Water Sports,Standard Class,52,0,40.38,0,10399.48,1275.86,-936.46
Africa,West Africa,Cardio Equipment,Second Class,52,1.8,75,0,16098.39,2394.86,-1361.01
Pacific Asia,Southeast Asia,Indoor/Outdoor Games,Same Day,51,0.3,33.33,3.92,7397.04,407.94,-911.46
Europe,Western Europe,Hockey,Standard Class,51,-0.3,31.37,1.96,7202.86,1052.56,-522.86
Pacific Asia,Oceania,Sporting Goods,Standard Class,51,-0.1,31.37,5.88,16715.25,199.16,-3371.28
Pacific Asia,South Asia,Sporting Goods,Standard Class,51,0.2,41.18,1.96,16715.25,1391.26,-1637.74
LATAM,Caribbean,Women's Apparel,Same Day,51,0.5,47.06,0,7900,684.15,-806.46
LATAM,South America,Shop By Sport,Same Day,51,0.6,54.9,3.92,6348.42,673.36,-793.4
Europe,Southern Europe,Camping & Hiking,Same Day,51,0.5,49.02,1.96,15298.98,1966.54,-1228.82
Pacific Asia,Southeast Asia,Women's Clothing,Second Class,51,2,78.43,1.96,11006.82,1844.89,-589.95
USCA,Canada,Cardio Equipment,Standard Class,51,-0.3,29.41,1.96,16728.33,2769.1,-908.47
Europe,Southern Europe,Computers,Standard Class,50,0,34,0,75000,14995.2,-2269.59
LATAM,South America,Electronics,Second Class,50,2.1,84,2,6794.37,495.77,-959.68
Pacific Asia,Oceania,Cardio Equipment,Same Day,50,0.5,46,2,15698.43,1325.2,-1870.34
USCA,South of  USA,Cardio Equipment,First Class,50,1,98,2,14898.51,1848.72,-1679.99
Europe,Western Europe,Electronics,First Class,50,1,96,2,5910.5,1453.34,-47.94
Pacific Asia,South Asia,Cleats,Same Day,50,0.6,54,0,9238.46,907.53,-1129.3
LATAM,Central America,Accessories,First Class,50,1,96,0,4173.33,905.94,-117.74
Pacific Asia,Oceania,Health and Beauty,Standard Class,50,0,38,2,14652,-370.82,-2932.88
Pacific Asia,Central Asia,Cleats,Standard Class,50,-0.1,42,0,9298.45,1452.07,-474.79
USCA,West of USA,Cleats,Same Day,50,0.4,36,0,9058.49,-72.4,-1779.51
Europe,Eastern Europe,Cardio Equipment,First Class,50,1,98,0,13508.67,1399.25,-1510.2
Pacific Asia,Southeast Asia,Video Games,Second Class,49,2.1,77.55,0,1947.75,80.84,-270.58
Pacific Asia,South Asia,Health and Beauty,Standard Class,49,-0.2,30.61,4.08,14358.96,1984.36,-1397.32
Africa,North Africa,Electronics,Standard Class,49,0,38.78,0,6473.36,1145.87,-291.11
Pacific Asia,Oceania,Fishing,Same Day,49,0.3,34.69,0,19599.02,1131.49,-2219.28
Africa,North Africa,Water Sports,First Class,49,1,100,0,9799.51,1284.58,-1059.32
LATAM,South America,Trade-In,Standard Class,49,0.3,48.98,4.08,3554.79,48.1,-730.13
Europe,Southern Europe,Water Sports,Same Day,49,0.6,55.1,4.08,9799.51,1432.99,-1196.84
Africa,East Africa,Cleats,Second Class,49,1.9,83.67,2.04,9178.47,1201.25,-880.13
USCA,East of USA,Water Sports,Same Day,48,0.5,43.75,6.25,9599.52,613.31,-1212.71
Pacific Asia,West Asia,Accessories,Standard Class,48,-0.1,37.5,2.08,3323.67,241.28,-463.44
Africa,East Africa,Indoor/Outdoor Games,Second Class,48,1.8,72.92,0,6997.2,461.04,-1027.5
Pacific Asia,Eastern Asia,Shop By Sport,First Class,48,1,89.58,2.08,6048.51,919.71,-458.94
Pacific Asia,South Asia,Toys,Standard Class,48,-0.1,35.42,4.17,553.92,62.81,-57.12
Europe,Western Europe,CDs,Standard Class,48,0.2,41.67,0,541.92,113.79,-26.27
LATAM,Central America,Hockey,Standard Class,48,-0.1,27.08,4.17,3246,243.21,-422.26
LATAM,Caribbean,Water Sports,Same Day,47,0.5,44.68,4.26,9399.53,1037.04,-844.86
USCA,West of USA,Girls' Apparel,Standard Class,47,0,38.3,0,6049.53,985.95,-363.38
Africa,Central Africa,Cleats,First Class,47,1,93.62,2.13,7918.68,1541.34,-304.66
Pacific Asia,Eastern Asia,Men's Footwear,Same Day,47,0.6,61.7,0,6109.53,409.56,-770.66
LATAM,Caribbean,Golf Balls,Standard Class,47,0,42.55,2.13,2539.56,612.73,-33.1
Pacific Asia,Central Asia,Men's Footwear,Standard Class,47,-0.1,36.17,0,6109.53,844.76,-382
Europe,Northern Europe,Fishing,Same Day,47,0.6,55.32,4.26,18799.06,3431.14,-543.61
Pacific Asia,Eastern Asia,Health and Beauty,Standard Class,47,0.2,42.55,0,13772.88,69.15,-2163.14
USCA,West of USA,Fishing,Same Day,47,0.5,44.68,0,18799.06,2541.41,-1700.76
USCA,East of USA,Indoor/Outdoor Games,Same Day,47,0.5,46.81,2.13,7297.08,489.67,-987.69
Europe,Western Europe,Hunting & Shooting,Standard Class,47,-0.2,34.04,0,7280.22,792.37,-605.04
USCA,East of USA,Accessories,Standard Class,47,0,42.55,0,3598.56,637.09,-238.43
Africa,West Africa,Electronics,Standard Class,46,0.1,41.3,0,5613.59,449.21,-636.91
Pacific Asia,Eastern Asia,Golf Balls,Standard Class,46,0.3,41.3,2.17,2461.59,529.79,-45.92
Europe,Northern Europe,Computers,Standard Class,46,-0.3,26.09,0,69000,5908.88,-9043.22
USCA,Canada,Camping & Hiking,Standard Class,46,-0.2,36.96,2.17,13799.08,1823.97,-1085.61
USCA,East of USA,Men's Footwear,Same Day,46,0.4,43.48,4.35,5979.54,447.84,-812.24
Pacific Asia,South Asia,Accessories,Standard Class,45,0.1,42.22,0,3498.6,-74.24,-683.99
Africa,North Africa,Camping & Hiking,Second Class,45,2,82.22,0,13499.1,1180.68,-1153.8
Pacific Asia,Oceania,Video Games,Second Class,45,1.8,73.33,4.44,1788.75,285.72,-167.56
LATAM,Central America,Hunting & Shooting,Standard Class,45,0,37.78,4.44,6335,396.33,-827.2
Pacific Asia,Southeast Asia,Girls' Apparel,Standard Class,45,-0.1,37.78,4.44,5519.75,559.67,-490.87
LATAM,Central America,Girls' Apparel,Second Class,44,2.6,90.91,4.55,4749.59,770.54,-355.74
Europe,Western Europe,Consumer Electronics,Second Class,44,2.3,84.09,2.27,11126.72,2168.58,-314.2
Africa,Southern Africa,Shop By Sport,Standard Class,44,-0.2,31.82,2.27,5238.75,609.84,-594.14
Europe,Western Europe,Baseball & Softball,Standard Class,44,-0.1,31.82,0,7218.83,545.78,-821.66
USCA,US Center,Men's Footwear,Same Day,43,0.4,37.21,0,5589.57,665.18,-526.49
Africa,East Africa,Men's Footwear,First Class,43,1,97.67,0,5589.57,1049.86,-229.98
USCA,West of USA,Golf Balls,Standard Class,43,0.1,41.86,0,1966.84,415.76,-80.84
Pacific Asia,Oceania,Men's Clothing,Standard Class,43,0.1,39.53,0,9066.55,1328.28,-650.04
Pacific Asia,Oceania,Women's Clothing,Second Class,43,1.8,69.77,0,9280.26,862.03,-1035.01
LATAM,South America,Electronics,First Class,43,1,88.37,4.65,5670.57,975.82,-371.57
Pacific Asia,Southeast Asia,Electronics,Second Class,43,1.8,69.77,4.65,4266.9,304.95,-563.68
Africa,Central Africa,Women's Apparel,First Class,43,1,88.37,6.98,6450,962.71,-495.29
LATAM,Central America,Kids' Golf Clubs,Standard Class,43,-0.1,41.86,2.33,9860.24,1841.29,-569.73
LATAM,Central America,Men's Golf Clubs,Standard Class,43,-0.3,37.21,2.33,7214.35,293.08,-1366.04
Africa,West Africa,Camping & Hiking,First Class,42,1,97.62,0,12599.16,1462.84,-1487.76
Pacific Asia,West Asia,Cleats,Same Day,42,0.6,57.14,0,7858.69,394.24,-1242.97
LATAM,Central America,Golf Balls,Second Class,42,2.5,88.1,2.38,2016.85,267.22,-242.67
Africa,West Africa,Fishing,First Class,42,1,92.86,0,16799.16,2360.42,-1592.49
Europe,Southern Europe,Golf Balls,Standard Class,42,-0.3,35.71,0,2411.61,212.62,-278.51
Pacific Asia,South Asia,Golf Balls,Standard Class,42,0.1,45.24,2.38,2253.77,-108.65,-513.82
USCA,West of USA,Water Sports,Same Day,42,0.5,50,0,8399.58,560.21,-1113.95
Europe,Eastern Europe,Shop By Sport,Second Class,42,2.4,85.71,0,5228.76,1046.08,-239.96
Pacific Asia,Southeast Asia,Children's Clothing,Standard Class,42,-0.1,35.71,0,14998.2,2166.01,-1614.92
LATAM,Central America,Golf Apparel,Standard Class,42,0,38.1,0,3099.18,524.68,-114.7
USCA,West of USA,Indoor/Outdoor Games,Same Day,42,0.5,45.24,0,6047.58,216.47,-978.8
Pacific Asia,Oceania,Water Sports,Same Day,42,0.3,30.95,4.76,8399.58,1356.82,-570.13
Europe,Southern Europe,Accessories,Standard Class,42,-0,28.57,4.76,3473.61,-51.57,-743.94
Africa,East Africa,Fishing,Second Class,41,1.7,68.29,4.88,16399.18,733.67,-2641.29
Pacific Asia,Oceania,Electronics,Second Class,41,1.9,78.05,0,4479.84,686.55,-329.15
Africa,Central Africa,Indoor/Outdoor Games,Second Class,41,2.6,87.8,4.88,5697.72,988.41,-229.56
Pacific Asia,Southeast Asia,Golf Balls,Standard Class,41,-0.5,29.27,2.44,2298.68,-107.34,-578.76
Europe,Western Europe,Women's Golf Clubs,Standard Class,41,0,36.59,2.44,12078.9,1651.7,-1217.86
Pacific Asia,South Asia,Video Games,Second Class,41,2,78.05,0,1629.75,55.87,-244.21
USCA,East of USA,Fishing,Same Day,40,0.4,45,0,15999.2,1950.02,-1440.34
Africa,East Africa,Cleats,First Class,40,1,100,0,7738.71,547.62,-1015.73
Pacific Asia,Eastern Asia,Video Games,Second Class,40,1.9,80,2.5,1590,68.29,-278.33
Pacific Asia,Southeast Asia,Women's Clothing,First Class,40,1,95,2.5,8632.8,1177.32,-534.63
USCA,Canada,Fishing,Standard Class,40,-0.3,22.5,0,15999.2,4147.78,-267.45
LATAM,Caribbean,Cardio Equipment,Same Day,40,0.5,45,2.5,11698.83,1359.08,-1195.24
Pacific Asia,Central Asia,Fishing,Standard Class,40,-0.2,32.5,2.5,15999.2,1766.9,-1494.82
Pacific Asia,Oceania,Crafts,Standard Class,40,-0,32.5,2.5,18459.2,1401.18,-2272.96
Africa,Central Africa,Women's Apparel,Second Class,40,2.1,82.5,0,5750,404.52,-816.09
Africa,Central Africa,Men's Footwear,Second Class,40,2.1,70,5,5199.6,197.99,-820.51
LATAM,Caribbean,Accessories,Standard Class,40,0.1,42.5,5,2873.85,68.69,-569.71
Pacific Asia,Eastern Asia,DVDs,Standard Class,40,0.1,40,0,6575.2,1147.34,-439.24
Europe,Western Europe,Children's Clothing,First Class,40,1,92.5,0,14284,3296.69,-501.59
Pacific Asia,Oceania,Camping & Hiking,Same Day,40,0.5,45,2.5,11999.2,474.79,-1923.82
Pacific Asia,Central Asia,Women's Apparel,Standard Class,39,0.3,46.15,2.56,5700,939.06,-331.01
Africa,East Africa,Water Sports,Second Class,39,2.2,79.49,2.56,7799.61,1449.84,-456.17
LATAM,Caribbean,Camping & Hiking,Same Day,39,0.7,64.1,2.56,11699.22,1248.89,-1195.42
Europe,Northern Europe,DVDs,Standard Class,39,-0,43.59,2.56,6410.82,623.53,-562.84
Africa,West Africa,Indoor/Outdoor Games,First Class,39,1,100,0,6447.42,112.72,-950.83
Pacific Asia,Southeast Asia,Electronics,First Class,39,1,94.87,2.56,4390.9,56.74,-671.9
Africa,West Africa,Shop By Sport,Second Class,39,2.1,69.23,2.56,4188.96,-98.95,-777.4
USCA,West of USA,Electronics,Second Class,39,1.9,76.92,2.56,3772.91,-185.76,-942.95
Pacific Asia,Southeast Asia,Crafts,Standard Class,39,0.3,48.72,0,17997.72,2164.57,-1171.48
Europe,Southern Europe,Cardio Equipment,Same Day,39,0.5,43.59,5.13,10158.99,-641.4,-2179.1
Europe,Western Europe,Golf Gloves,Second Class,39,2.4,87.18,0,5399.18,935.19,-247.93
Pacific Asia,Southeast Asia,Pet Supplies,Second Class,39,1.8,74.36,0,3291.6,477.08,-185.84
USCA,US Center,Indoor/Outdoor Games,Same Day,39,0.3,28.21,0,5847.66,665.09,-626.47
Pacific Asia,Eastern Asia,Sporting Goods,Standard Class,39,-0.1,30.77,0,12782.25,1398.73,-1150.53
Europe,Southern Europe,Consumer Electronics,Standard Class,39,-0.2,35.9,0,9862.32,317.01,-1529.13
LATAM,Central America,Golf Balls,First Class,39,1,94.87,2.56,2068.83,-89.04,-402.49
LATAM,Central America,Boxing & MMA,Standard Class,38,0,36.84,0,8417.5,1636,-281.18
Europe,Northern Europe,Camping & Hiking,Same Day,38,0.3,26.32,0,11399.24,1233.36,-960.62
Pacific Asia,Southeast Asia,Toys,Second Class,38,1.9,78.95,2.63,438.52,95.58,-14.27
LATAM,Caribbean,Girls' Apparel,Standard Class,38,-0.1,34.21,0,4889.76,823.5,-197.17
Europe,Northern Europe,Cardio Equipment,Same Day,38,0.4,42.11,2.63,10698.93,1189.72,-1074.31
Africa,East Africa,Women's Apparel,Second Class,38,1.8,68.42,2.63,4950,230.31,-928.78
LATAM,South America,Baseball & Softball,Standard Class,38,0.1,47.37,0,6003.97,909.55,-398.45
Europe,Northern Europe,Accessories,Standard Class,38,-0.1,34.21,0,2723.91,504.46,-170.84
Pacific Asia,Eastern Asia,Indoor/Outdoor Games,Same Day,38,0.4,42.11,0,5597.76,1301.86,-53.61
Pacific Asia,South Asia,Girls' Apparel,Standard Class,37,-0.5,27.03,0,4809.85,362.03,-683.44
